loci_name,adjacent_genes_0kb_tss
chr1_0_100000,intergenic
chr1_100000_200000,intergenic
chr1_200000_300000,intergenic
chr1_300000_400000,intergenic
chr1_400000_500000,intergenic
chr1_500000_600000,intergenic
chr1_600000_700000,intergenic
chr1_700000_800000,intergenic
chr1_800000_900000,intergenic
chr1_900000_1000000,intergenic
chr1_1000000_1100000,intergenic
chr1_1100000_1200000,intergenic
chr1_1200000_1300000,intergenic
chr1_1300000_1400000,intergenic
chr1_1400000_1500000,intergenic
chr1_1500000_1600000,intergenic
chr1_1600000_1700000,intergenic
chr1_1700000_1800000,intergenic
chr1_1800000_1900000,intergenic
chr1_1900000_2000000,intergenic
chr1_2000000_2100000,intergenic
chr1_2100000_2200000,intergenic
chr1_2200000_2300000,intergenic
chr1_2300000_2400000,intergenic
chr1_2400000_2500000,intergenic
chr1_2500000_2600000,intergenic
chr1_2600000_2700000,intergenic
chr1_2700000_2800000,intergenic
chr1_2800000_2900000,intergenic
chr1_2900000_3000000,intergenic
chr1_3000000_3100000,intergenic
chr1_3100000_3200000,intergenic
chr1_3200000_3300000,intergenic
chr1_3300000_3400000,intergenic
chr1_3400000_3500000,Gm1992
chr1_3500000_3600000,intergenic
chr1_3600000_3700000,Xkr4
chr1_3700000_3800000,intergenic
chr1_3800000_3900000,intergenic
chr1_3900000_4000000,Gm37381
chr1_4000000_4100000,intergenic
chr1_4100000_4200000,intergenic
chr1_4200000_4300000,intergenic
chr1_4300000_4400000,intergenic
chr1_4400000_4500000,Rp1; Sox17
chr1_4500000_4600000,Gm37323
chr1_4600000_4700000,intergenic
chr1_4700000_4800000,Mrpl15
chr1_4800000_4900000,Lypla1; Gm37988; Tcea1
chr1_4900000_5000000,Gm16041
chr1_5000000_5100000,Rgs20; Atp6v1h
chr1_5100000_5200000,intergenic
chr1_5200000_5300000,intergenic
chr1_5300000_5400000,intergenic
chr1_5400000_5500000,intergenic
chr1_5500000_5600000,Oprk1
chr1_5600000_5700000,intergenic
chr1_5700000_5800000,intergenic
chr1_5800000_5900000,intergenic
chr1_5900000_6000000,Npbwr1
chr1_6000000_6100000,intergenic
chr1_6100000_6200000,intergenic
chr1_6200000_6300000,Rb1cc1; 4732440D04Rik
chr1_6300000_6400000,Alkal1
chr1_6400000_6500000,St18
chr1_6500000_6600000,intergenic
chr1_6600000_6700000,intergenic
chr1_6700000_6800000,intergenic
chr1_6800000_6900000,intergenic
chr1_6900000_7000000,intergenic
chr1_7000000_7100000,Pcmtd1
chr1_7100000_7200000,intergenic
chr1_7200000_7300000,intergenic
chr1_7300000_7400000,Gm26901
chr1_7400000_7500000,Gm30414
chr1_7500000_7600000,intergenic
chr1_7600000_7700000,intergenic
chr1_7700000_7800000,intergenic
chr1_7800000_7900000,intergenic
chr1_7900000_8000000,intergenic
chr1_8000000_8100000,intergenic
chr1_8100000_8200000,intergenic
chr1_8200000_8300000,intergenic
chr1_8300000_8400000,intergenic
chr1_8400000_8500000,intergenic
chr1_8500000_8600000,intergenic
chr1_8600000_8700000,intergenic
chr1_8700000_8800000,intergenic
chr1_8800000_8900000,intergenic
chr1_8900000_9000000,intergenic
chr1_9000000_9100000,intergenic
chr1_9100000_9200000,intergenic
chr1_9200000_9300000,Sntg1
chr1_9300000_9400000,intergenic
chr1_9400000_9500000,intergenic
chr1_9500000_9600000,Rrs1; Adhfe1
chr1_9600000_9700000,intergenic
chr1_9700000_9800000,Mybl1; Vcpip1; 1700034P13Rik; Sgk3
chr1_9800000_9900000,intergenic
chr1_9900000_10000000,Mcmdc2; Snhg6; Tcf24; Gm15818
chr1_10000000_10100000,Ppp1r42; Cops5; Cspp1
chr1_10100000_10200000,intergenic
chr1_10200000_10300000,Arfgef1
chr1_10300000_10400000,intergenic
chr1_10400000_10500000,intergenic
chr1_10500000_10600000,intergenic
chr1_10600000_10700000,intergenic
chr1_10700000_10800000,Cpa6
chr1_10800000_10900000,intergenic
chr1_10900000_11000000,Prex2
chr1_11000000_11100000,intergenic
chr1_11100000_11200000,intergenic
chr1_11200000_11300000,intergenic
chr1_11300000_11400000,intergenic
chr1_11400000_11500000,A830018L16Rik
chr1_11500000_11600000,intergenic
chr1_11600000_11700000,intergenic
chr1_11700000_11800000,intergenic
chr1_11800000_11900000,intergenic
chr1_11900000_12000000,intergenic
chr1_12000000_12100000,intergenic
chr1_12100000_12200000,intergenic
chr1_12200000_12300000,intergenic
chr1_12300000_12400000,intergenic
chr1_12400000_12500000,intergenic
chr1_12500000_12600000,intergenic
chr1_12600000_12700000,Gm17644; Sulf1
chr1_12700000_12800000,intergenic
chr1_12800000_12900000,intergenic
chr1_12900000_13000000,Slco5a1
chr1_13000000_13100000,Gm29283
chr1_13100000_13200000,Prdm14
chr1_13200000_13300000,intergenic
chr1_13300000_13400000,Ncoa2; Gm29570
chr1_13400000_13500000,intergenic
chr1_13500000_13600000,Tram1
chr1_13600000_13700000,Lactb2; Xkr9
chr1_13700000_13800000,intergenic
chr1_13800000_13900000,intergenic
chr1_13900000_14000000,intergenic
chr1_14000000_14100000,intergenic
chr1_14100000_14200000,intergenic
chr1_14200000_14300000,intergenic
chr1_14300000_14400000,Eya1
chr1_14400000_14500000,intergenic
chr1_14500000_14600000,intergenic
chr1_14600000_14700000,intergenic
chr1_14700000_14800000,Gm9947; Msc
chr1_14800000_14900000,intergenic
chr1_14900000_15000000,Trpa1
chr1_15000000_15100000,intergenic
chr1_15100000_15200000,intergenic
chr1_15200000_15300000,Kcnb2
chr1_15300000_15400000,intergenic
chr1_15400000_15500000,intergenic
chr1_15500000_15600000,intergenic
chr1_15600000_15700000,intergenic
chr1_15700000_15800000,intergenic
chr1_15800000_15900000,Terf1; Sbspon
chr1_15900000_16000000,intergenic
chr1_16000000_16100000,4930444P10Rik
chr1_16100000_16200000,Rpl7; Rdh10
chr1_16200000_16300000,Gm28095; Gm7568
chr1_16300000_16400000,intergenic
chr1_16400000_16500000,intergenic
chr1_16500000_16600000,Stau2
chr1_16600000_16700000,Ube2w; Eloc; D030040B21Rik; Tmem70; Ly96
chr1_16700000_16800000,intergenic
chr1_16800000_16900000,Gm28376
chr1_16900000_17000000,intergenic
chr1_17000000_17100000,Jph1
chr1_17100000_17200000,Gm28783; Gdap1; Gm28784
chr1_17200000_17300000,intergenic
chr1_17300000_17400000,intergenic
chr1_17400000_17500000,intergenic
chr1_17500000_17600000,intergenic
chr1_17600000_17700000,Pi15; Gm28154
chr1_17700000_17800000,Gm16070; Crispld1
chr1_17800000_17900000,Gm28153
chr1_17900000_18000000,intergenic
chr1_18000000_18100000,intergenic
chr1_18100000_18200000,Crisp4
chr1_18200000_18300000,Defb41
chr1_18300000_18400000,intergenic
chr1_18400000_18500000,intergenic
chr1_18500000_18600000,intergenic
chr1_18600000_18700000,intergenic
chr1_18700000_18800000,intergenic
chr1_18800000_18900000,intergenic
chr1_18900000_19000000,intergenic
chr1_19000000_19100000,intergenic
chr1_19100000_19200000,Gm15825; Tfap2d
chr1_19200000_19300000,Tfap2b
chr1_19300000_19400000,intergenic
chr1_19400000_19500000,intergenic
chr1_19500000_19600000,intergenic
chr1_19600000_19700000,intergenic
chr1_19700000_19800000,intergenic
chr1_19800000_19900000,intergenic
chr1_19900000_20000000,intergenic
chr1_20000000_20100000,intergenic
chr1_20100000_20200000,intergenic
chr1_20200000_20300000,intergenic
chr1_20300000_20400000,4930486I03Rik
chr1_20400000_20500000,intergenic
chr1_20500000_20600000,intergenic
chr1_20600000_20700000,Pkhd1; Gm28653
chr1_20700000_20800000,Il17f
chr1_20800000_20900000,Mcm3; 6720483E21Rik; Paqr8
chr1_20900000_21000000,Efhc1
chr1_21000000_21100000,Tram2; Gm28287
chr1_21100000_21200000,intergenic
chr1_21200000_21300000,Tmem14a; Gsta3; Gm28836
chr1_21300000_21400000,Khdc1a; Khdc1c; Khdc1b
chr1_21400000_21500000,intergenic
chr1_21500000_21600000,intergenic
chr1_21600000_21700000,intergenic
chr1_21700000_21800000,intergenic
chr1_21800000_21900000,intergenic
chr1_21900000_22000000,Kcnq5
chr1_22000000_22100000,intergenic
chr1_22100000_22200000,intergenic
chr1_22200000_22300000,intergenic
chr1_22300000_22400000,intergenic
chr1_22400000_22500000,intergenic
chr1_22500000_22600000,intergenic
chr1_22600000_22700000,intergenic
chr1_22700000_22800000,intergenic
chr1_22800000_22900000,Rims1
chr1_22900000_23000000,intergenic
chr1_23000000_23100000,intergenic
chr1_23100000_23200000,intergenic
chr1_23200000_23300000,Gm27028; Gm29107
chr1_23300000_23400000,Ogfrl1
chr1_23400000_23500000,intergenic
chr1_23500000_23600000,Gm28822
chr1_23600000_23700000,intergenic
chr1_23700000_23800000,B3gat2
chr1_23800000_23900000,intergenic
chr1_23900000_24000000,Smap1
chr1_24000000_24100000,Sdhaf4
chr1_24100000_24200000,Fam135a; Col9a1
chr1_24200000_24300000,intergenic
chr1_24300000_24400000,intergenic
chr1_24400000_24500000,intergenic
chr1_24500000_24600000,Col19a1
chr1_24600000_24700000,Lmbrd1
chr1_24700000_24800000,intergenic
chr1_24800000_24900000,intergenic
chr1_24900000_25000000,intergenic
chr1_25000000_25100000,Gm29414
chr1_25100000_25200000,intergenic
chr1_25200000_25300000,intergenic
chr1_25300000_25400000,intergenic
chr1_25400000_25500000,intergenic
chr1_25500000_25600000,intergenic
chr1_25600000_25700000,intergenic
chr1_25700000_25800000,intergenic
chr1_25800000_25900000,Adgrb3
chr1_25900000_26000000,intergenic
chr1_26000000_26100000,intergenic
chr1_26100000_26200000,intergenic
chr1_26200000_26300000,intergenic
chr1_26300000_26400000,intergenic
chr1_26400000_26500000,intergenic
chr1_26500000_26600000,intergenic
chr1_26600000_26700000,4931408C20Rik
chr1_26700000_26800000,intergenic
chr1_26800000_26900000,intergenic
chr1_26900000_27000000,intergenic
chr1_27000000_27100000,intergenic
chr1_27100000_27200000,intergenic
chr1_27200000_27300000,intergenic
chr1_27300000_27400000,intergenic
chr1_27400000_27500000,intergenic
